sender	message
Hadi	Jazakallah Bhai
Hadi	Yeh lazmi apply kerwa den unka
Shami	G kaha he
Hadi	Good ho gya
Hadi	Shami Bhai meri tax I'd b aa gai hy....
Shami	Chale kal kr lete hen
Hadi	Kal holiday hy to bank open ho gy?
Shami	Ohh... Then on Friday
Hadi	Ok
Shami	11, 12 bje chale gen
Hadi	G ok Bhai
Hadi	Assalam o alikum Bhai....
Shami	11 bje nikalty hen
Hadi	G ok Bhai
Hadi	Shami bhai 11.10 py ma ap k ghr k neachy waly stop py honga
Hadi	Insha Allah
Shami	Alright
Shami	A rhy?
Hadi	Bhai jazakallah aj k lia
Shami	No problem
Hadi	Important Note at Time of Submission:
Hadi	Yeh at the time if submission yani after joining waiting list and completion of waiting time then next process is submission option.
Hadi	Shami Bhai kahi bhr akely nikal rahy hon ya university ja k bethna ho ap ny study k Library to agr munasib smjha kren to mjy b sath la lia kren 
Shami	Alright
Hadi	Thank you Bhai
Hadi	Assalam o alikum Bhai 
Shami	I'm sorry, I'm going somewhere
Hadi	It's okay
Shami	Ye Nadra se bn'na he ya union council se?
Shami	Hmm
Hadi	Union council waly extra la lety pesy
Hadi	Ic lia nadra ya Union council jha py ap k lia easy hy waha sy banwa len
Shami	Right
Hadi	Shami Bhai
Hadi	Letter of motivation likha ap ny embassy k lia?
Shami	Abhi likhna he
Hadi	Ma ic lia bol raha tha k ap documentation complete ker len or as soon as possible apply ker den
Hadi	Rash lag jana winter k lia or apko b pta k winter ma admissions zyada hoty duniaya k
Shami	G paise mangwane ghr se
Shami	Koi a raha apke jan'ne wala coming days me
Hadi	Abi to ni but 1,2 larky lagy wy appointment ki line ma
Hadi	1 ya 2 hafto ma aa jayegi unki appointment
Shami	Kaha se hen wo?
Hadi	O bhai salman bhai aa rahy Pakistan sy abi
Hadi	I think 29 , 30 ko aye gy
Shami	Kaha se he wo bhla?
Hadi	Jhang sy hen shyed lakin ap un sy rabta to ker k dekh len
Hadi	Might be possible koi scene ban jaye
Shami	Hmm
Hadi	Kiu k jaldi to wohi aa rahy
Shami	Uss ka number share krna
Hadi	Kitny pesy munghwany al ny?
Shami	3000 Euro
Hadi	Sahi
Shami	Hmm
Shami	10000 euro tak bnda la skta... No issue
Shami	Me a gya hun... Wapis
Shami	Hmm... Let's see
Hadi	Ma ny suba bas ici lia bola tha kiu k wesy he ghr reh k to ajeeb c kefiyat hoti
Shami	Hmm
Shami	idr kr den apply Herne me
Hadi	G ok
Hadi	Yani new jobs ni apply ho rahi 
Hadi	Or Shami Bhai bank walo ny koi b paper ni tha dena?
Shami	G
Shami	Letter a jaye ga
Hadi	At that time kuch b nai milta? Jab ham ny signature ker k dia thy
Hadi	G ok Bhai
Shami	letter aye ga…phir pin aye ga uss me to active ho jaye ga…
Hadi	G ok Bhai
Hadi	Shami Bhai
Shami	G
Hadi	Bhai job py gay howy aj ya ghr hen...
Shami	Job p
Hadi	Ok Bhai
Shami	Aya letter?
Shami	Kya update he
Hadi	2 letter aye hen aj
Hadi	Ma wesy b caah raha tha ap sy 1 mulakaat ho jaye
Shami	Bank k?
Hadi	G
Shami	Can you share the pics?
Hadi	Letter ✉️ band hen or wo andr sy b seal hen
Hadi	Or black bary bary bar-code hen kahi kharab na ho jy opening ma
Shami	Hmm.. pin ho ga
Hadi	Ho skta job k bud aj time ho ga ap k pas ya mushkil hy?
Shami	Me wapis a raha
Shami	1 hour tk a jaiya ga
Hadi	G ok bhai jazakallah
Shami	Shaam ko milte hen...
Shami	Abi muje neend a rahi
Hadi	G ok Bhai
Hadi	No issue
Shami	A jaiye ga... Jab ap free hon
Hadi	Bhai g...
Shami	A jaye 10-15 minutes tak
Hadi	G ok bhai
Shami	Me abi aldi a gya hun to 10 minutes lag jane
Hadi	Ma b aa raha adli bro no issue
Hadi	Shami Shami
Hadi	Assalam o alikum Bhai 
Shami	Wassterstr
Hadi	Ok ho gya
Hadi	Kitny bjy nikalny ka irada apka
Shami	1:15
Hadi	Ok Bhai
Hadi	Ok. Bhai I'll reach there insha Allah
Hadi	Assalam o alikum
Hadi	Shami Bhai kesy hen..?
Hadi	Bhai agr mulakaat kerni ho ap sy to kab or kha possible..?
Shami	G Alhamdulilah
Shami	Yr aj me frankfurt aya huwa hu aur kal Meri shift he
Hadi	G chalen theek hy koi issue ni bud ma sahi ap easily kren kaam
Hadi	Shami Bhai mjy b share ker dena solutions exercises k
Hadi	Jazakallah
Shami	Sent
Hadi	Jazakallah bhai
Shami	Sath me exercises bhi hen
Shami	Hetero cycle k folder me
Hadi	Ok ho gya bhai
Shami	No problem
Shami	Online bhi ho jata... Diya ho ga link
Shami	G a gya hu
Shami	Uni center hi prh len gen
Hadi	Ok
Hadi	Shami bhai uni center ma kitny bjy hota juma
Shami	2 bje
Hadi	Ok
Hadi	Assalam o alikum 
Hadi	Bhai aj ki apki kia masroofiyat hy..?
Shami	W. S.
Shami	Shift p aya hun
Hadi	Picnic...?
Hadi	Ok ok Bhai
Shami	G
Shami	Wah Hadi sb wah
Hadi	🙃
Hadi	Shami Bhai free ho k btana  agr aj time howa ap k pas to
Shami	Ok
Shami	Ap msg kr diya kren, jo baat ho
Hadi	G ok
Hadi	Icka b btaiye ga
Hadi	Ok Bhai
Shami	Chalo chale jaye gen
Hadi	Jazakallah
Shami	Check kr lena, kaha p he
Hadi	AOA
Hadi	Shami bhai kesy hen...
Hadi	Yeh kesy kerni hoti
Shami	Ye kya he
Hadi	Revolute ki verification bop raha
Hadi	Okie 
Shami	12 bje
Hadi	Ok
Hadi	Ooh okay
Shami	Kab nikly?
Hadi	Jb Bhai ap khty 12 k bud jab b ap khty ma aa jaonga ap k pas
Shami	Chale a jaiye ga... Me bhi 10 minutes tak ready ho jata hu
Hadi	Ok
Hadi	Ma neachy stop ma hon
Shami	Ok. Coming
Hadi	Assalam o alikum Bhai 
Shami	UFO
Hadi	Ok
Hadi	‎Missed voice call, ‎Click to call back
Shami	Düsseldorf dekhne jana he aj sham?
Hadi	Kitny bjy
Shami	7:30 se 11 bje tak
Hadi	Yar I'll update you
Hadi	Insha Allah
Hadi	Ma just ek cheez confirm kerna chta
Hadi	Wo ker k btata apko
Shami	Okay, take your time
Hadi	.
Shami	Me aur Ali
Shami	Hmm
Shami	Yaha se nikalna tha
Hadi	‎This message was deleted.
Shami	7:55 pm
Hadi	Sahi ho gya ap logh nikal gay?
Shami	G
Hadi	Ok
Shami	Package krwaya ya nai
Hadi	Kerwa lia bhai
Hadi	Ma apko insha Allah join keronga
Hadi	Nikal raha ghr sy
Shami	Okay
Hadi	Destination btana
Hadi	Dus HBF?
Shami	Yes
Hadi	Or bag hy pas ap k?
Shami	Nai
Shami	Kidr pohnche
Hadi	Re11 my hon
Hadi	40 min tak dus hbf
Shami	Okay
Hadi	BHAI ap logh ghomy ma ap sy location munghwa longa 21.24 bta raha arrival time.. hbf
Shami	Okay
Shami	Rush boht he
Shami	Plz don't panic and keep me updated
Hadi	Ok Bhai
Hadi	10 minutes py ic stop py a jaonga
Hadi	U75 my hon
Hadi	Too kuch Rush 🤯
Shami	Ok
Shami	Agy bhi boht rush he😅
Shami	It would be a miracle if we could find each other😅
Shami	Enjoy😅
Shami	I think first wala
Shami	No
